posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 25-Feb-22,Sang Lin Tackle Sdn Bhd,Invoicing Coordinator,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Customer Service",Manufacturing / Production,51 - 200 Employees
Posted on 14-Mar-22,Jora Jobs,Operator,,Entry Level,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 24-Feb-22,Yollink Industries Sdn Bhd.,INVENTORY EXECUTIVE,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 1-Mar-22,Micron Memory Malaysia Sdn Bhd,Senior Operations Specialist (Subcon/Program Management),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",4 years,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 11-Mar-22,TG Ocean Health Food Industries Sdn Bhd,Production Operator,"MYR 2,000 - MYR 2,800",Entry Level,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1 - 50 Employees
Posted on 8-Mar-22,Matthews International Malaysia Sdn. Bhd. (formerly known as Schawk Imaging),PPM Coordinator,,Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Customer Service",Arts / Design / Fashion,501 - 1000 Employees
Posted on 11-Mar-22,Jora Jobs,CNC Milling Operator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 2-Mar-22,COHR Malaysia Sdn Bhd,Buyer II / Senior,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1 - 50 Employees
Posted 22 hours ago,One Structure Sdn Bhd,Admin cum HR Executive,"MYR 2,500 - MYR 3,500",Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Architectural Services / Interior Designing,1 - 50 Employees
Posted on 2-Mar-22,TAIKO MARKETING GROUP OF COMPANIES,Operation Clerk (based in Bukit Mertajam),"MYR 1,500 - MYR 1,800",Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U",1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Chemical/Fertilizers/Pesticides,201 - 500 Employees
Posted on 11-Mar-22,Dell Global Business Center Sdn Bhd,Customer/Technical Training Advisor,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",7 years,Full-Time,"Others,Others",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 28-Feb-22,DHL Supply Chain (Malaysia) Sdn Bhd,Operation Manager,"MYR 8,000 - MYR 11,000",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted on 24-Feb-22,TF AMD MICROELECTRONICS (PENANG) SDN. BHD.,Supply Chain Specialist,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Electrical & Electronics,2001 - 5000 Employees
