posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 1-Mar-22,Elken Service Sdn Bhd,Customer Relations Assistant,"MYR 1,800 - MYR 2,500",Entry Level,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Services,Customer Service",Repair & Maintenance Services,501 - 1000 Employees
Posted on 10-Mar-22,Marrybrown Sdn Bhd,Kitchen Crew (The Top Komtar),"MYR 1,100 - MYR 1,200",Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Food & Beverage / Catering / Restaurant,501 - 1000 Employees
Posted on 24-Feb-22,Dell Global Business Center Sdn Bhd,"Analyst/ Senior Analyst, Demand Planning",,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 15-Feb-22,NanoGrind Technologies Sdn Bhd,Customer Service,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",10 years,Full-Time,"Services,Customer Service",General & Wholesale Trading,1 - 50 Employees
Posted on 24-Feb-22,EPS Malaysia,Customer Service & Sales Coordinator (Few vacancies),"MYR 2,500 - MYR 3,800",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Customer Service",Human Resources Management / Consulting,201 - 500 Employees
Posted on 7-Mar-22,UWC Holdings Sdn Bhd,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Engineering,Electrical",Manufacturing / Production,1001 - 2000 Employees
Posted on 8-Mar-22,Dynacraft Industries Sdn Bhd,Manufacturing Operator,"MYR 1,200 - MYR 1,500",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,501 - 1000 Employees
Posted on 10-Mar-22,Leverse Technology Sdn. Bhd.,SALES EXECUTIVE - IT,"MYR 1,800 - MYR 2,500",Junior Executive,Primary/Secondary School/O Level,1 year,Full-Time,"Sales/Marketing,Sales - Eng/Tech/IT",Computer / Information Technology (Software),1 - 50 Employees
Posted on 23-Feb-22,COHR Malaysia Sdn Bhd,Senior Production Planner-Scheduler,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1 - 50 Employees
Posted on 24-Feb-22,Georgetown & Wellings Pharmacy,Purchaser,"MYR 2,300 - MYR 3,300",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Healthcare / Medical,201 - 500 Employees
Posted on 28-Feb-22,Ruho Corporation Sdn. Bhd.,Warehouse Assistant,"MYR 1,600 - MYR 1,800",Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 10-Mar-22,Jora Jobs,Rubber Moulding Machine Operator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted 21 hours ago,CRPP SDN. BHD.,Senior Manager / Assistant Manager,"MYR 6,000 - MYR 11,000",Senior Manager,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted on 4-Mar-22,Kyocera AVX Components (Penang) Sdn Bhd,Buyer,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,1001 - 2000 Employees
Posted on 22-Feb-22,Excel Rim Sdn Bhd,Shipping Assistant,,Junior Executive,Not Specified,3 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,51 - 200 Employees
Posted on 7-Mar-22,RIGHT PRISTINE MANPRO SDN BHD,Program Management & Customer Service,"MYR 3,000 - MYR 4,200",Senior Executive,Not Specified,5 years,Full-Time,"Services,Customer Service",Manufacturing / Production,51 - 200 Employees
Posted on 8-Mar-22,Swanson Plastics (Malaysia) Sdn Bhd,Production Trainee,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",,Full-Time,"Manufacturing,Manufacturing",Polymer / Plastic / Rubber / Tyres,51 - 200 Employees
Posted on 11-Mar-22,Smith & Associates Malaysia Sdn Bhd,Sales Manager/ Senior Sales Representative (Thai/ Vietnamese/ Japanese speaking),,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Sales/Marketing,Sales - Corporate",Electrical & Electronics,501 - 1000 Employees
Posted on 28-Feb-22,Kemikon Sdn. Bhd.,Material Planner,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,201 - 500 Employees
Posted on 10-Mar-22,Company Confidential,Ecommerce Admin Executive,"MYR 1,800 - MYR 2,400",Entry Level,Primary/Secondary School/O Level,,Full-Time,"Sales/Marketing,E-commerce",,
